timestamp,請求書番号,請求書金額(expected),支払額_before,支払額_after,差额(diff),判定,alert_text
2026-01-07 14:03:26,01036423,37929.00,917723.00,955652.00,37929.00,金额无误,
2026-01-07 14:03:27,01036419,94229.00,955652.00,1049881.00,94229.00,金额无误,
2026-01-07 14:03:28,01036422,11732.00,1049881.00,1061613.00,11732.00,金额无误,
2026-01-07 14:03:28,01005154,26931.00,1061613.00,1088544.00,26931.00,金额无误,
2026-01-07 14:03:29,01036424,83775.00,1088544.00,1172319.00,83775.00,金额无误,
2026-01-07 14:03:30,01036425,63162.00,1172319.00,1235481.00,63162.00,金额无误,
2026-01-07 14:03:31,01005158,22282.00,1235481.00,1257763.00,22282.00,金额无误,
2026-01-07 14:03:31,01029194,4268.00,1257763.00,1262031.00,4268.00,金额无误,
2026-01-07 14:03:32,01005159,3788.00,1262031.00,1265819.00,3788.00,金额无误,
2026-01-07 14:03:33,01021545,8758.00,1265819.00,1274577.00,8758.00,金额无误,
2026-01-07 14:03:33,01013521,29913.00,1274577.00,1304490.00,29913.00,金额无误,
2026-01-07 14:03:34,01036261,71862.00,1304490.00,1376352.00,71862.00,金额无误,
2026-01-07 14:03:35,01029196,6570.00,1376352.00,1382922.00,6570.00,金额无误,
2026-01-07 14:03:36,01005165,8787.00,1382922.00,1391709.00,8787.00,金额无误,
